Whse,ItemCode,ItemDescription,DisplayDescription,CommodityCode,CommodityClass,ItemCode,OHQty,AllocQty,AvailQty,WAC,ExtWAC,Loc1,Loc2,Loc3,Manufacturer,MfrPartNumber
01ALU,090-40012-02-RF,CARD T1 OUTPUT AUTO,,NETWORK,CARD,|090-40012-02-RF,2,0,2,1,2,1,,,SYMMETRICOM,090-40012-02
01ALU,8271423MR5REVE,PIC 40G TRSPDR MX PRNCD MFD,,NETWORK,PIC,|8271423MR5REVE,5,0,5,1,5,1,,,TELLABS,82.71423M-R5
01SHN,7781177,MODEM CO CRS CH 7 CM-8,,NETWORK,PIC,|7781177,2,0,2,1,2,1,,,ERICSSON,77-811-77
01SHN,800-04678-03-RF,ADAPTER 1 PT T3 SER PT,,NETWORK,PIC,|800-04678-03-RF,1,0,1,35,35,1,,,CISCO,800-04678-03
01SHN,800-04737-06-RF,CARD CISCO3660 ETHRNT MHRBD,,NETWORK,PIC,|800-04737-06-RF,1,0,1,200,200,1,,,CISCO,800-04737-06
01SHN,800-18579-01,OC-12 INTFC CD 1 PT,,NETWORK,PIC,|800-18579-01,1,0,1,150,150,1,,,CISCO,800-18579-01
01SHN,800-24912-02-RF,CARD OC-192 XC ONS15454,,NETWORK,PIC,|800-24912-02-RF,2,1,1,1,2,1,,,CISCO,800-24912-02
01SHN,8002291801,PIC 1GB ETHRNT INTFC CD,,NETWORK,PIC,|8002291801,1,0,1,10,10,1,,,CISCO,800-22918-01
01SHN,751321/A,CARD EXPBL TEL HV ISLT CD,,NETWORK,CARD,|751321/A,1,0,1,518.28,518.28,1,,,POSITRON,751321/A
01SHN,7501-24,CARD AC DATA 4-WIRE,,NETWORK,CARD,|7501-24,4,0,4,635,2540,1,,,POSITRON,7501-24
01SHN,7501-03,CARD DC TRMSN 48VDC  MFD,,NETWORK,CARD,|7501-03,5,0,5,250,1250,1,,,POSITRON,7501-03
01SHN,8002476609,PIC ONS15454 TMG CTR 2PK9,,NETWORK,PIC,|8002476609,1,0,1,745,745,1,,,CISCO,800-24766-09
01SHN,8002655204,PIC METRO ETHERNET SWITCH,,NETWORK,PIC,|8002655204,2,0,2,50,100,1,,,CISCO,800-26552-04
01SHN,8002692107,PIC 8-SLOT ETHERNET ROUTER,,NETWORK,PIC,|8002692107,3,0,3,50,150,1,,,CISCO,800-26921-07
01SHN,8002786203,PIC DC POWERED GBE SWITCH,,NETWORK,PIC,|8002786203,1,0,1,50,50,1,,,CISCO,800-27862-03
01SHN,730654I01,PIC CARD 2W- 4W TERM REPEATER,,NETWORK,PIC,|730654I01,2,0,2,100,200,1,,,CHARLES INDUSTRIES,730654I01
01SHN,8002813403,PIC STANDALONE ETHERNET SW,,NETWORK,PIC,|8002813403,12,0,12,50,600,1,,,CISCO,800-28134-03
01SHN,8003408601,PIC OPT PRE-AMP MOD,,NETWORK,PIC,|8003408601,1,0,1,430,430,1,,,CISCO,800-34086-01
01SHN,714470111000AA,CARD OPTICAL SWITCH P2-OPSW-SA,,NETWORK,PIC,|714470111000AA,18,0,18,1880.01,33840.18,1,,,CISCO,714470.111.000.AA
01SHN,8003503801,PIC OC3/12/48 12 PORTS IOF,,NETWORK,PIC,|8003503801,4,0,4,1,4,1,,,CISCO,800-35038-01
01SHN,8004308002,PIC ONS15454 TIMING CONTROL 80,,NETWORK,PIC,|8004308002,11,0,11,1,11,1,,,CISCO,800-43080-02
01SHN,8040SERIESA,REPEATER TERMINAL DSL ENCLOSUR,,NETWORK,PIC,|8040SERIESA,2,0,2,500,1000,1,,,COMMUNICATION TEST DESIGN,8040-SER-A
01SHN,80610746242,PIC MODULE 1150 DIGITAL SIGNAL,,NETWORK,PIC,|80610746242,1,0,1,35,35,1,,,3M,80-6107-4624-2
01SHN,81.4001F-RF,CARD 4W-4W TERM RPTR/SC MOD,,NETWORK,PIC,|81.4001F-RF,1,0,1,325,325,1,,,TELLABS,81.4001F
01SHN,81.7153250REVBRF,PIC MODULE DCM 50KM MFD,,NETWORK,PIC,|81.7153250REVBRF,2,0,2,1000,2000,1,,,CORIANT NORTH AMERICA INC,81.71532-50
01SHN,81.7153260REVBRF,PIC MODULE DCM 60KM MFD,,NETWORK,PIC,|81.7153260REVBRF,1,0,1,1000,1000,1,,,CORIANT NORTH AMERICA INC,81.71532-60
01SHN,81.9610-RF,ADAPTER MODULAR TYPE 10 TO MFT,,NETWORK,PIC,|81.9610-RF,8,0,8,50,400,1,,,TELLABS,81.961
01SHN,81XO192SR1851M,XFP OC192 SR/SX 850NM,,NETWORK,OPTIC,|81XO192SR1851M,7,0,7,475,3325,1,,,CORIANT NORTH AMERICA INC,81.XO192SR1851M
01SHN,814445AREVS,PIC 4445A BRIDGE ACTIVE 5WY DA,,NETWORK,PIC,|814445AREVS,1,0,1,125,125,1,,,TELLABS,81.4445A
01SHN,8152,MODULE 6 POTS COT,,NETWORK,PIC,|8152,1,0,1,370.54,370.54,1,,,XEL COMMUNICATIONS,8152
01SHN,815517AREVT,PIC 5500 DS3/1 PROCESSOR REV J,,NETWORK,PIC,|815517AREVT,110,0,110,1705.6114,187617.25,1,,,TELLABS,81.5517A
01SHN,8171MHGTMMR5,PIC TRSPDR MXR PRNCD,,NETWORK,CARD,|8171MHGTMMR5,27,0,27,18000,486000,1,,,CORIANT NORTH AMERICA INC,81.71M-HGTMM-R5
01SHN,819003A-RF,CARD 291 RG INTRUPR CONT,,NETWORK,PIC,|819003A-RF,1,0,1,1,1,1,,,TELLABS,81.9003A
01SHN,68365801,PIC 6509 GBE MOD 48-PORT,,NETWORK,PIC,|68365801,1,0,1,7774.75,7774.75,1,,,CISCO,68-3658-01
01SHN,819296-RF,CARD 292R 2W TRK ACC MODULE,,NETWORK,PIC,|819296-RF,2,0,2,1,2,1,,,TELLABS,81.9296
01SHN,822201A,MODULE EXPRES SPAN HTU-C ENHAN,,NETWORK,PIC,|822201A,2,0,2,1,2,1,,,TELLABS,82.2201A
01SHN,8240P10ISSUE3-RF,CARD 2W DL PULS TERMG/GN,,NETWORK,PIC,|8240P10ISSUE3-RF,15,0,15,75,1125,1,,,COMMUNICATION TEST DESIGN,8240-P10
01SHN,68186004,PIC 8 PT ETHERNET LINE CD,,NETWORK,PIC,|68186004,1,0,1,50,50,1,,,CISCO,68-1860-04
01SHN,68186002,PIC 8 PT ETHERNET LINE CD,,NETWORK,PIC,|68186002,3,0,3,50,150,1,,,CISCO,68-1860-02
01SHN,68082006,PIC 8 PT ETHERNET LINE CD,,NETWORK,PIC,|68082006,5,0,5,50,250,1,,,CISCO,68-0820-06
01SHN,68082002,PIC 8 PT ETHERNET LINE CD,,NETWORK,PIC,|68082002,1,0,1,50,50,1,,,CISCO,68-0820-02
01SHN,824412A-RF,CARD 4412 DA STA TERM MOD,,NETWORK,PIC,|824412A-RF,3,0,3,1,3,1,,,TELLABS,82.4412A
01SHN,870286002,PIC HIGH CAPACITY SERVICE E5 S,,NETWORK,PIC,|870286002,1,0,1,435,435,1,,,ORACLE,870-2860-02
01SHN,8805-1300-02,CARD T1 SINGLE MODE SC,,NETWORK,PIC,|8805-1300-02,2,0,2,863.05,1726.1,1,,,RLH INDUSTRIES,8805-1300-02
01SHN,8806-1279-01,CARD 4WIRE CO DATA SM SC,,NETWORK,PIC,|8806-1279-01,3,0,3,425,1275,1,,,RLH INDUSTRIES,8806-1279-01
01SHN,8806123403-RF,PIC CARD CO 2 WIRE EXTENDED MF,,NETWORK,PIC,|8806123403-RF,3,0,3,125,375,1,,,RLH INDUSTRIES,8806-1234-03
01SHN,8806131001,CARD SUB T1 SINGLE MODE,,NETWORK,PIC,|8806131001,1,0,1,750,750,1,,,RLH INDUSTRIES,8806-1310-01
01SHN,9080396REV01,REFURB CARD SE800 OC3C STM1 AT,,NETWORK,PIC,|9080396REV01,3,0,3,600,1800,1,,,ERICSSON,908-0396
01SHN,91254-02-M2-RF,CARD 4W F/M CHANNEL UNIT,,NETWORK,PIC,|91254-02-M2-RF,1,0,1,120,120,1,,,SIEMENS,91254-02-M2
01SHN,9140201,CARD CHANNEL UNIT 2WE&M 900Z,,NETWORK,PIC,|9140201,4,0,4,1,4,1,,,LINK AMERICA,91402-01
01SHN,9145E-VE03,PIC 10/100BASE-TX 2 PT NID,,NETWORK,PIC,|9145E-VE03,38,0,38,1574,59812,1,,,CANOGA PERKINS,9145E-VE03
01SHN,9145E-VE04,PIC NID SMART VE04 USR RJ45 NT,KIT 10/100 BASE-TX NID STD,NETWORK,PIC,|9145E-VE04,4,0,4,1618,6472,1,,,CANOGA PERKINS,9145E-VE04
01SHN,9145E-VE18-RF,PIC NID SMART VE18 GIGE LX W/A,,NETWORK,PIC,|9145E-VE18-RF,1,0,1,1500,1500,1,,,CANOGA PERKINS,9145E-VE18
01SHN,9145E-VE42-RF,NID SMART VE42 10/100BASE-TX U,,NETWORK,PIC,|9145E-VE42-RF,3,0,3,295,885,1,,,CANOGA PERKINS,9145E-VE42
01SHN,9145112,CARD 4WETO CHANNEL UNIT,,NETWORK,PIC,|9145112,2,0,2,1,2,1,,,LINK AMERICA,9145112
01SHN,91459-12-RF,CARD 2WFXS CHANNEL UNIT,,NETWORK,PIC,|91459-12-RF,1,0,1,1,1,1,,,LINK AMERICA,91459-12
01SHN,9146601,CARD CHANNEL UNIT AR-OCU DP,,NETWORK,PIC,|9146601,1,0,1,1,1,1,,,LINK AMERICA,9146601
01SHN,9824AE,PIC 5ESS TEL-JK CARD,,NETWORK,PIC,|9824AE,1,0,1,1,1,1,,,ALCATEL-LUCENT NORTH AMERICA,9824AE
01SHN,990120A,CARD GDSL CO LINE V90 PLUS,,NETWORK,PIC,|990120A,1,0,1,1,1,1,,,COMMUNICATION TEST DESIGN,990120-A
01SHN,990210-RF,CARD GDSL HICAP STREAKER,,NETWORK,PIC,|990210-RF,2,0,2,1,2,1,,,GO DIGITAL,990210
01SHN,9964-7012-RF,POWER SUPPLY UNIT S24DU,,NETWORK,PIC,|9964-7012-RF,1,0,1,1,1,1,,,SEISCOR,9964-7012
