"Co","Whse","ItemCode","ItemDescription","DisplayDescription","CommodityCode","CommodityClass","ItemCode","OHQty","AllocQty","AvailQty","WAC","ExtWAC","Loc1","Loc2","Loc3","Manufacturer","MfrPartNumber"
"  001","01ALN","280-0073-00","SFP CWDM 1590NM 80KM Z SERIES","","NETWORK","OPTIC","|280-0073-00",1.0000,.0000,1.0000,470.400000,470.40,"1","","","CIENA","280-0073-00"
"  001","01ALN","280-0074-00","SFP CWDM 1610NM 80KM Z SERIES","","NETWORK","OPTIC","|280-0074-00",1.0000,.0000,1.0000,470.400000,470.40,"1","","","CIENA","280-0074-00"
"  001","01ALN","280-0183-00","C/T INT-280-0183-00 SFP 1000BA","","NETWORK","OPTIC","|280-0183-00",1.0000,.0000,1.0000,370.020000,370.02,"1","","","CIENA","280-0183-00"
"  001","01ALN","280-0692-00","SFP+ 9.95-11.3G 1310NM 10KM Z","","NETWORK","OPTIC","|280-0692-00",3.0000,.0000,3.0000,207.666667,623.00,"1","","","CIENA","280-0692-00"
"  001","01ALN","800-0091-01","MODULE MULTI-RATE OTN MUXPONDE","","NETWORK","MODULE","|800-0091-01",1.0000,.0000,1.0000,6495.000000,6495.00,"1","","","CIENA","800-0091-01"
"  001","01ALN","800-0123-02","CARD PSW-618+ Z SERIES MFD","","NETWORK","CARD","|800-0123-02",5.0000,.0000,5.0000,8882.865000,44414.33,"1","","","CIENA","800-0123-02"
"  001","01ALN","800-0138-02","CARD LME-10G10D MUXPONDER Z SE","","NETWORK","CARD","|800-0138-02",1.0000,.0000,1.0000,6895.530000,6895.53,"1","","","CIENA","800-0138-02"
"  001","01ALN","910-0006-01","SHELF LGX Z SERIES MFD","","NETWORK","SHELF","|910-0006-01",3.0000,.0000,3.0000,1.083333,3.25,"1","","","CIENA","910-0006-01"
"  001","01ALN","910-0025-01","MODULE OPTICAL FIBER SWITCH OF","","NETWORK","MODULE","|910-0025-01",2.0000,.0000,2.0000,312.075000,624.15,"1","","","CIENA","910-0025-01"
"  001","01ALN","910-0028-01","MODULE OPTICAL FIBER SWITCH OF","","NETWORK","MODULE","|910-0028-01",1.0000,.0000,1.0000,312.010000,312.01,"1","","","CIENA","910-0028-01"
"  001","01ALN","950-0004-00","CARD LINE AMB Z SERIES MFD","","NETWORK","PIC","|950-0004-00",11.0000,.0000,11.0000,25.450000,279.95,"1","","","CIENA","950-0004-00"
"  001","01ALN","950-0055-00","ATTENUATOR 5 DB Z SERIES MFD","","NETWORK","ATTENUATOR","|950-0055-00",2.0000,.0000,2.0000,12.480000,24.96,"1","","","CIENA","950-0055-00"
"  001","01ALN","950-0155-00","CARD DCM FBG SMF-28 96CH 20KMM","","NETWORK","CARD","|950-0155-00",3.0000,.0000,3.0000,955.143333,2865.43,"1","","","CIENA","950-0155-00"
"  001","01ALN","950-0156-00","MODULE DCM FBG SMF-28 96CH 40K","","NETWORK","MODULE","|950-0156-00",1.0000,.0000,1.0000,955.150000,955.15,"1","","","CIENA","950-0156-00"
"  001","01ALN","950-0157-00","MODULE DCM FBG SMF-28 96CH 60K","","NETWORK","MODULE","|950-0157-00",2.0000,.0000,2.0000,1114.335000,2228.67,"1","","","CIENA","950-0157-00"
"  001","01ALN","950-0159-00","DCM FBG SMF-28 96CH 100KMKM Z","","NETWORK","CARD","|950-0159-00",1.0000,.0000,1.0000,1337.200000,1337.20,"1","","","CIENA","950-0159-00"
"  001","01ALN","950-0188-01","KIT AIRFLOW Z SERIES MFD","","NETWORK","KIT","|950-0188-01",1.0000,.0000,1.0000,151.550000,151.55,"1","","","CIENA","950-0188-01"
"  001","01ALN","FB016958A-RF","CARD GTD-5 NETWORK CLOCK UNIT","","NETWORK","CARD","|FB016958A-RF",20.0000,.0000,20.0000,2800.000000,56000.00,"1","","","ALCATEL-LUCENT NORTH AMERICA","FB016958A"
"  001","01ALN","NT8E01PDS01-RF","PIC OCI48 RING TRMT FDN2400 MF","","NETWORK","PIC","|NT8E01PDS01-RF",4.0000,.0000,4.0000,800.000000,3200.00,"1","","","NORTEL","NT8E01PD"
"  001","01ALU","090-40012-02-RF","CARD T1 OUTPUT AUTO","","NETWORK","CARD","|090-40012-02-RF",2.0000,.0000,2.0000,1.000000,2.00,"1","","","SYMMETRICOM","090-40012-02"
"  001","01ALU","8271423MR5REVE","PIC 40G TRSPDR MX PRNCD MFD","","NETWORK","PIC","|8271423MR5REVE",5.0000,.0000,5.0000,1.000000,5.00,"1","","","TELLABS","82.71423M-R5"
"  001","01SHN","DFT4002L1I2PCN01","PIC 4W EQD TRMSN ON D4 CH","","NETWORK","PIC","|DFT4002L1I2PCN01",1.0000,.0000,1.0000,1.000000,1.00,"1","","","ALCATEL-LUCENT NORTH AMERICA","DFT-4002-L1-I2-PCN001"
"  001","01SHN","0120-0162-RF","CARD GBE222 UPLINK/TRANSPORT U","","NETWORK","PIC","|0120-0162-RF",10.0000,.0000,10.0000,4296.000000,42960.00,"1","","","TELLABS","0120-0162"
"  001","01SHN","1181113L2REVB","PIC TOT ACCESS HDSL2 TRCVR","","NETWORK","PIC","|1181113L2REVB",20.0000,.0000,20.0000,62.777800,1255.56,"1","","","ADTRAN","1181113L2"
"  001","01SHN","6947600002","PIC SHELF DML-3X50 DUAL MULDEM","","NETWORK","PIC","|6947600002",2.0000,.0000,2.0000,872.000000,1744.00,"1","","","ALCATEL-LUCENT NORTH AMERICA","694-7600-002"
"  001","01SHN","91254-02-M2-RF","CARD 4W F/M CHANNEL UNIT","","NETWORK","PIC","|91254-02-M2-RF",1.0000,.0000,1.0000,120.000000,120.00,"1","","","SIEMENS","91254-02-M2"
"  001","01SHN","9140201","CARD CHANNEL UNIT 2WE&M 900Z","","NETWORK","PIC","|9140201",4.0000,.0000,4.0000,1.000000,4.00,"1","","","LINK AMERICA","91402-01"
"  001","01SHN","9080396REV01","REFURB CARD SE800 OC3C STM1 AT","","NETWORK","PIC","|9080396REV01",3.0000,.0000,3.0000,600.000000,1800.00,"1","","","ERICSSON","908-0396"
